Location,Startup_Count,Shown_On_Map,Latitude,Longitude
Bengaluru,226,Yes,12.9716,77.5946
Mumbai,109,Yes,19.076,72.8777
Gurugram,103,Yes,28.4595,77.0266
Delhi,92,Yes,28.6139,77.209
Chennai,38,Yes,13.0827,80.2707
Maharashtra,35,No,,
Pune,33,Yes,18.5204,73.8567
Hyderabad,31,Yes,17.385,78.4867
Karnataka,30,No,,
Noida,26,Yes,28.5355,77.391
Ahmedabad,15,Yes,23.0225,72.5714
Kolkata,12,Yes,22.5726,88.3639
Haryana,11,No,,
US,10,No,,
-,10,No,,
Jaipur,9,Yes,26.9124,75.7873
Tamil Nadu,7,No,,
Indore,7,Yes,22.7196,75.8577
Surat,6,Yes,21.1702,72.8311
Telangana,5,No,,
Gujarat,5,No,,
Uttar Pradesh,5,No,,
Thane,5,No,,
Bhubaneswar,5,Yes,20.2961,85.8245
California,4,No,,
Lucknow,3,Yes,26.8467,80.9462
Washington,2,No,,
West Bengal,2,No,,
Singapore,2,No,,
Vishakhapatnam,2,No,,
Chandigarh,2,Yes,30.7333,76.7794
Thiruvananthapuram,2,Yes,8.5241,76.9366
Nashik,2,No,,
Coimbatore,2,Yes,11.0168,76.9558
Madhya Pradesh,1,No,,
Odisha,1,No,,
"Dubai, Karnataka",1,No,,
Rajasthan,1,No,,
Ahmednagar,1,No,,
Cuttack,1,No,,
Roorkee,1,No,,
Haveri,1,No,,
Vadodara,1,Yes,22.3072,73.1812
Kota,1,No,,
Rourkela,1,No,,
Uttarakhand,1,No,,
Bhubaneshwar,1,No,,
Posha,1,No,,
Abu Dhabi,1,No,,
Thanjavur,1,No,,
Akola,1,No,,
Patna,1,Yes,25.5941,85.1376
Jalandhar,1,No,,
Ernakulam,1,No,,
San Fracisco,1,No,,
Bahadurgarh,1,No,,
Faridabad,1,No,,
India,1,No,,
San Francisco,1,No,,
Nagpur,1,Yes,21.1458,79.0882
Hoshiarpur,1,No,,
Alappuzha,1,No,,
Raipur,1,Yes,21.2514,81.6296
